channel_type,channel_name,channel_id,priority,include_flag,notes
공영·지상파,KBS 뉴스,UCcQTRi69dsVYHN3exePtZ1A,1,1,2026-04-27 후보조회 1순위 반영
공영·지상파,MBCNEWS,UCF4Wxdo3inmxP-Y59wXDsFw,1,1,2026-04-27 후보조회 1순위 반영
공영·지상파,SBS 뉴스,UCkinYTS9IHqOEwR1Sze2JTw,1,1,2026-04-27 후보조회 1순위 반영
종합편성,JTBC News,UCsU-I-vHLiaMfV_ceaYz5rQ,1,1,2026-04-27 후보조회 1순위 반영
종합편성,TVCHOSUN News,UCWlV3Lz_55UaX4JsMj-z__Q,1,1,2026-04-27 후보조회 1순위 반영
종합편성,MBN News,UCG9aFJTZ-lMCHAiO1KJsirg,1,1,2026-04-27 후보조회 1순위 반영
종합편성,채널A News,UCfq4V1DAuaojnr2ryvWNysw,1,1,2026-04-27 후보조회 1순위 반영
보도·경제전문,YTN,UChlgI3UHCOnwUGzWzbJ3H5w,1,1,2026-04-27 후보조회 1순위 반영
보도·경제전문,연합뉴스TV,UCTHCOPwqNfZ0uiKOvFyhGwg,1,1,2026-04-27 후보조회 1순위 반영
보도·경제전문,한국경제TV,UCF8AeLlUbEpKju6v1H6p8Eg,1,1,2026-04-27 후보조회 1순위 반영
보도·경제전문,매일경제TV,UCnfwIKyFYRuqZzzKBDt6JOA,1,1,2026-04-27 후보조회 1순위 반영
보도·경제전문,SBS Biz,UCbMjg2EvXs_RUGW-KrdM3pw,1,1,2026-04-27 후보조회 1순위 반영
