channel_name,primary_frame,video_count,channel_total,frame_share_within_channel
 YTN,안보·군사,915,1619,0.5651636812847437
 YTN,경제·에너지,307,1619,0.18962322421247685
 YTN,기타/혼합,291,1619,0.17974058060531192
 YTN,국제정치·외교,55,1619,0.033971587399629403
 YTN,투자·시장,47,1619,0.029030265596046944
 YTN,인도주의·민간피해,4,1619,0.0024706609017912293
JTBC News,안보·군사,299,795,0.37610062893081764
JTBC News,기타/혼합,260,795,0.3270440251572327
JTBC News,경제·에너지,153,795,0.19245283018867926
JTBC News,국제정치·외교,43,795,0.05408805031446541
JTBC News,투자·시장,30,795,0.03773584905660377
JTBC News,인도주의·민간피해,10,795,0.012578616352201259
KBS News,안보·군사,557,1050,0.5304761904761904
KBS News,경제·에너지,234,1050,0.22285714285714286
KBS News,기타/혼합,179,1050,0.17047619047619048
KBS News,투자·시장,41,1050,0.039047619047619046
KBS News,국제정치·외교,33,1050,0.03142857142857143
KBS News,인도주의·민간피해,6,1050,0.005714285714285714
MBCNEWS,안보·군사,331,838,0.39498806682577564
MBCNEWS,기타/혼합,268,838,0.3198090692124105
MBCNEWS,경제·에너지,168,838,0.20047732696897375
MBCNEWS,국제정치·외교,31,838,0.03699284009546539
MBCNEWS,투자·시장,31,838,0.03699284009546539
MBCNEWS,인도주의·민간피해,9,838,0.010739856801909307
MBN News,안보·군사,316,753,0.4196547144754316
MBN News,기타/혼합,214,753,0.28419654714475434
MBN News,경제·에너지,146,753,0.19389110225763612
MBN News,국제정치·외교,45,753,0.05976095617529881
MBN News,투자·시장,30,753,0.0398406374501992
MBN News,인도주의·민간피해,2,753,0.0026560424966799467
SBS Biz 뉴스,투자·시장,181,286,0.6328671328671329
SBS Biz 뉴스,기타/혼합,48,286,0.16783216783216784
SBS Biz 뉴스,경제·에너지,45,286,0.15734265734265734
SBS Biz 뉴스,안보·군사,12,286,0.04195804195804196
SBS 뉴스,안보·군사,567,972,0.5833333333333334
SBS 뉴스,기타/혼합,225,972,0.23148148148148148
SBS 뉴스,경제·에너지,103,972,0.10596707818930041
SBS 뉴스,국제정치·외교,38,972,0.03909465020576132
SBS 뉴스,투자·시장,37,972,0.03806584362139918
SBS 뉴스,인도주의·민간피해,2,972,0.00205761316872428
뉴스TVCHOSUN,안보·군사,532,896,0.59375
뉴스TVCHOSUN,기타/혼합,234,896,0.2611607142857143
뉴스TVCHOSUN,경제·에너지,102,896,0.11383928571428571
뉴스TVCHOSUN,투자·시장,14,896,0.015625
뉴스TVCHOSUN,국제정치·외교,13,896,0.014508928571428572
뉴스TVCHOSUN,인도주의·민간피해,1,896,0.0011160714285714285
매일경제TV,투자·시장,38,98,0.3877551020408163
매일경제TV,경제·에너지,23,98,0.23469387755102042
매일경제TV,안보·군사,21,98,0.21428571428571427
매일경제TV,기타/혼합,16,98,0.16326530612244897
연합뉴스TV,기타/혼합,839,1864,0.4501072961373391
연합뉴스TV,안보·군사,582,1864,0.31223175965665234
연합뉴스TV,경제·에너지,308,1864,0.16523605150214593
연합뉴스TV,국제정치·외교,82,1864,0.043991416309012876
연합뉴스TV,투자·시장,47,1864,0.02521459227467811
연합뉴스TV,인도주의·민간피해,6,1864,0.003218884120171674
채널A News,안보·군사,560,1082,0.5175600739371534
채널A News,기타/혼합,376,1082,0.34750462107208874
채널A News,경제·에너지,107,1082,0.0988909426987061
채널A News,국제정치·외교,27,1082,0.024953789279112754
채널A News,투자·시장,9,1082,0.00831792975970425
채널A News,인도주의·민간피해,3,1082,0.0027726432532347504
한국경제TV,투자·시장,156,184,0.8478260869565217
한국경제TV,기타/혼합,18,184,0.09782608695652174
한국경제TV,경제·에너지,10,184,0.05434782608695652
